lineup_id,match_id,player_id,team_id,is_starting_xi,tactical_position,minutes_played
1,1,1,1,0,GK,0
2,1,2,1,1,DEF,90
3,1,3,1,0,DEF,30
4,1,4,1,0,DEF,0
5,1,5,1,0,DEF,0
6,1,6,1,1,MID,90
7,1,7,1,0,MID,0
8,1,8,1,0,MID,0
9,1,9,1,0,FWD,30
10,1,10,1,1,FWD,90
11,1,11,1,0,FWD,0
12,1,12,1,0,GK,0
13,1,13,1,1,GK,90
14,1,14,1,0,FWD,0
15,1,15,1,1,DEF,90
16,1,16,1,0,FWD,30
17,1,17,1,0,MID,0
18,1,18,1,0,MID,0
19,1,19,1,1,MID,90
20,1,20,1,1,DEF,90
21,1,21,1,0,FWD,0
22,1,22,1,1,FWD,90
23,1,23,1,1,DEF,90
24,1,24,1,1,MID,90
25,1,25,1,0,FWD,30
26,1,26,1,1,MID,90
27,1,27,2,1,GK,90
28,1,28,2,0,DEF,0
29,1,29,2,1,DEF,90
30,1,30,2,1,MID,90
31,1,31,2,0,MID,0
32,1,32,2,0,DEF,0
33,1,33,2,1,FWD,90
34,1,34,2,0,FWD,0
35,1,35,2,0,FWD,0
36,1,36,2,0,FWD,0
37,1,37,2,1,MID,90
38,1,38,2,1,FWD,90
39,1,39,2,1,MID,90
40,1,40,2,0,DEF,0
41,1,41,2,0,FWD,0
42,1,42,2,0,GK,0
43,1,43,2,0,FWD,0
44,1,44,2,0,DEF,0
45,1,45,2,0,DEF,0
46,1,46,2,1,DEF,90
47,1,47,2,0,DEF,0
48,1,48,2,0,GK,0
49,1,49,2,1,MID,90
50,1,50,2,1,DEF,90
51,1,51,2,0,FWD,0
52,1,52,2,1,DEF,90
53,2,53,3,1,GK,90
54,2,54,3,1,DEF,90
55,2,55,3,0,MID,0
56,2,56,3,1,DEF,90
57,2,57,3,0,DEF,0
58,2,58,3,0,MID,30
59,2,59,3,0,FWD,0
60,2,60,3,0,MID,0
61,2,61,3,1,FWD,90
62,2,62,3,1,MID,90
63,2,63,3,0,MID,0
64,2,64,3,0,GK,0
65,2,65,3,0,DEF,0
66,2,66,3,0,DEF,0
67,2,67,3,0,DEF,0
68,2,68,3,1,DEF,90
69,2,69,3,1,MID,90
70,2,70,3,1,FWD,90
71,2,71,3,0,MID,30
72,2,72,3,0,MID,0
73,2,73,3,0,GK,0
74,2,74,3,1,DEF,90
75,2,75,3,0,DEF,0
76,2,76,3,0,MID,0
77,2,77,3,1,MID,90
78,2,78,3,1,MID,90
79,2,79,4,1,GK,90
80,2,80,4,0,DEF,0
81,2,81,4,1,DEF,90
82,2,82,4,0,DEF,0
83,2,83,4,1,DEF,90
84,2,84,4,1,DEF,90
85,2,85,4,0,DEF,30
86,2,86,4,1,MID,90
87,2,87,4,0,FWD,0
88,2,88,4,0,FWD,0
89,2,89,4,0,FWD,0
90,2,90,4,0,MID,0
91,2,91,4,0,FWD,0
92,2,92,4,1,DEF,90
93,2,93,4,1,FWD,90
94,2,94,4,0,GK,0
95,2,95,4,1,MID,90
96,2,96,4,1,MID,90
97,2,97,4,0,FWD,0
98,2,98,4,0,DEF,0
99,2,99,4,0,DEF,0
100,2,100,4,0,MID,0
101,2,101,4,0,GK,0
102,2,102,4,0,MID,0
103,2,103,4,1,MID,90
104,2,104,4,1,FWD,90
105,3,105,5,0,GK,0
106,3,106,5,1,DEF,90
107,3,107,5,0,DEF,0
108,3,108,5,0,DEF,0
109,3,109,5,1,DEF,90
110,3,110,5,1,MID,90
111,3,111,5,1,MID,90
112,3,112,5,0,MID,0
113,3,113,5,0,FWD,30
114,3,114,5,0,FWD,0
115,3,115,5,1,MID,90
116,3,116,5,0,FWD,0
117,3,117,5,0,DEF,0
118,3,118,5,0,MID,0
119,3,119,5,1,DEF,90
120,3,120,5,1,GK,90
121,3,121,5,0,FWD,0
122,3,122,5,0,GK,0
123,3,123,5,0,DEF,0
124,3,124,5,1,FWD,90
125,3,125,5,1,MID,90
126,3,126,5,1,DEF,90
127,3,127,5,0,DEF,0
128,3,128,5,1,FWD,90
129,3,129,5,0,MID,0
130,3,130,5,0,FWD,0
131,3,131,6,1,GK,90
132,3,132,6,0,DEF,0
133,3,133,6,1,DEF,90
134,3,134,6,1,DEF,90
135,3,135,6,1,DEF,90
136,3,136,6,1,MID,90
137,3,137,6,0,DEF,0
138,3,138,6,0,MID,0
139,3,139,6,0,FWD,0
140,3,140,6,0,FWD,0
141,3,141,6,0,FWD,0
142,3,142,6,0,GK,0
143,3,143,6,1,MID,90
144,3,144,6,0,MID,0
145,3,145,6,1,MID,90
146,3,146,6,0,MID,0
147,3,147,6,1,MID,90
148,3,148,6,0,DEF,0
149,3,149,6,0,FWD,0
150,3,150,6,1,FWD,90
151,3,151,6,1,DEF,90
152,3,152,6,0,GK,0
153,3,153,6,1,FWD,90
154,3,154,6,0,DEF,0
155,3,155,6,0,FWD,30
156,3,156,6,0,MID,0
157,4,313,13,1,GK,90
158,4,314,13,0,DEF,0
159,4,315,13,0,DEF,0
160,4,316,13,0,MID,0
161,4,317,13,1,DEF,90
162,4,318,13,1,DEF,90
163,4,319,13,1,MID,90
164,4,320,13,1,MID,90
165,4,321,13,0,FWD,0
166,4,322,13,1,FWD,90
167,4,323,13,0,FWD,0
168,4,324,13,0,DEF,0
169,4,325,13,0,DEF,0
170,4,326,13,0,MID,0
171,4,327,13,1,MID,90
172,4,328,13,0,DEF,30
173,4,329,13,1,MID,90
174,4,330,13,1,DEF,90
175,4,331,13,0,FWD,0
176,4,332,13,1,FWD,90
177,4,333,13,0,FWD,0
178,4,334,13,1,DEF,90
179,4,335,13,0,DEF,0
180,4,336,13,0,GK,0
181,4,337,13,0,GK,0
182,4,338,13,0,FWD,0
183,4,339,14,1,GK,90
184,4,340,14,1,DEF,90
185,4,341,14,1,DEF,90
